apec1.kT apec1.Abundanc apec1.norm
1.196989691273951273e+00 1.084410042428158860e-01 1.847027136814174186e+00
1.097886140589894088e+00 7.441686873746900660e-03 3.378635206571360516e+00
1.097886140589894088e+00 7.441686873746900660e-03 3.378635206571360516e+00
1.435530080661080676e+00 1.460893212370868721e-01 1.764113639579818038e+00
1.697687725707819117e+00 1.454617654617223477e-01 2.077518399855383002e+00
2.199664731966427755e+00 3.816337709822246183e+00 4.356983087037883395e-01
1.378406595827253556e+00 1.591696355208612745e-01 2.066457802904181129e+00
1.949449329217160853e+00 1.248264934390592495e+00 7.257410754168773792e-01
1.521591161304030937e+00 1.840488367525459634e-01 1.744680490419274976e+00
1.964705604800651262e+00 6.953077267547724816e-01 8.829393996617058704e-01
1.817639049162316445e+00 2.214273442786776624e-01 1.620293069951436182e+00
1.771528803645869621e+00 3.275848378727690413e-01 1.421497137107775366e+00
1.399874218370408041e+00 2.532160373479129811e-01 1.617153003613959195e+00
1.352741823433522228e+00 1.103227905061776593e-01 2.036257174903087108e+00
2.091063985123344349e+00 4.040539597819764461e-01 1.364515174012346455e+00
1.787226748830823997e+00 3.887786078674426715e-01 1.327008522587057371e+00
1.259757362668891822e+00 1.871694764923163140e-02 2.625860680298259364e+00
1.752659309504489338e+00 1.213502936389667108e-01 1.704443541489685465e+00
1.389233847376710962e+00 1.028154486436148179e-01 2.116851524059370160e+00
1.763304357970592928e+00 1.670239535441503387e+00 6.266473105089735984e-01
1.809588606472112948e+00 5.102070884597498246e-01 1.193799899028670009e+00
1.443120107744769953e+00 7.421556291218557588e-02 1.930243096349757881e+00
1.382224785411272139e+00 4.265928904336725724e-02 2.423537358490062132e+00
1.693932927624107299e+00 6.512081431349958649e-01 1.206314658600647460e+00
1.518178781408089595e+00 5.217310226701890041e-01 1.015761976043732417e+00
1.915227132454229375e+00 7.291555795185356015e-01 1.278683929358832572e+00
1.259757362668891822e+00 1.871694764923163140e-02 2.625860680298259364e+00
1.945579243839233197e+00 1.059592709154941748e+00 7.780735463740738878e-01
1.525936571503831329e+00 1.723433858774608696e-01 1.752164398776245191e+00
1.782908460992284283e+00 1.133863945093900871e-01 1.886674880050490888e+00
1.219490632364328864e+00 1.560129849851478630e-02 2.580246744492133981e+00
1.480404180566263328e+00 3.135764653788034040e-01 1.515095234139092417e+00
1.682314932186326439e+00 1.440977914432179374e-01 1.560838894637485597e+00
1.366311836518333322e+00 4.217456393574101764e-02 2.387595935515939072e+00
1.272967911223623849e+00 1.509944574335743694e-01 1.986327317105716306e+00
1.317220435456540883e+00 1.278435326468895239e-01 2.098673039807571694e+00
1.249048069890693613e+00 8.985906374251236006e-02 2.354225281414374038e+00
1.596815278305993013e+00 2.422065549373274285e-01 1.386287030674163478e+00
1.151566066508454389e+00 1.689338222804573700e-02 2.727501931965775395e+00
1.546990918967698025e+00 1.624053243177857042e-01 2.193220134351856032e+00
1.259289178964153377e+00 7.612151387729748642e-02 2.440497922260623120e+00
