16:01:18 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs_basic/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
16:01:18 [ultranest] [INFO] Sampling 400 live points from prior ...
16:01:20 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
16:01:20 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
16:01:20 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
16:01:26 [ultranest] [DEBUG] iteration=870, ncalls=1939, logz=-1284.60, remainder_fraction=100.0000%, Lmin=-1263.10, Lmax=-139.93
16:01:26 [ultranest] [DEBUG] iteration=880, ncalls=1957, logz=-1226.34, remainder_fraction=100.0000%, Lmin=-1213.88, Lmax=-139.93
16:01:26 [ultranest] [DEBUG] iteration=892, ncalls=1987, logz=-1190.63, remainder_fraction=100.0000%, Lmin=-1176.61, Lmax=-139.93
16:01:26 [ultranest] [DEBUG] iteration=902, ncalls=2010, logz=-1156.42, remainder_fraction=100.0000%, Lmin=-1147.78, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=909, ncalls=2053, logz=-1145.31, remainder_fraction=100.0000%, Lmin=-1128.10, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=920, ncalls=2076, logz=-1110.36, remainder_fraction=100.0000%, Lmin=-1097.64, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=931, ncalls=2113, logz=-1080.40, remainder_fraction=100.0000%, Lmin=-1072.19, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=944, ncalls=2149, logz=-1054.95, remainder_fraction=100.0000%, Lmin=-1045.57, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=957, ncalls=2181, logz=-1027.52, remainder_fraction=100.0000%, Lmin=-1019.35, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=960, ncalls=2188, logz=-1021.94, remainder_fraction=100.0000%, Lmin=-1010.87, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=973, ncalls=2222, logz=-987.44, remainder_fraction=100.0000%, Lmin=-979.73, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=984, ncalls=2255, logz=-950.24, remainder_fraction=100.0000%, Lmin=-938.21, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=990, ncalls=2281, logz=-939.13, remainder_fraction=100.0000%, Lmin=-930.69, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=998, ncalls=2317, logz=-927.28, remainder_fraction=100.0000%, Lmin=-917.36, Lmax=-139.93
16:01:27 [ultranest] [DEBUG] iteration=1000, ncalls=2340, logz=-921.07, remainder_fraction=100.0000%, Lmin=-911.81, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1009, ncalls=2376, logz=-898.16, remainder_fraction=100.0000%, Lmin=-889.11, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1018, ncalls=2411, logz=-884.30, remainder_fraction=100.0000%, Lmin=-875.56, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1026, ncalls=2445, logz=-865.95, remainder_fraction=100.0000%, Lmin=-856.87, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1039, ncalls=2482, logz=-834.65, remainder_fraction=100.0000%, Lmin=-824.37, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1040, ncalls=2484, logz=-832.79, remainder_fraction=100.0000%, Lmin=-820.75, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1050, ncalls=2516, logz=-813.42, remainder_fraction=100.0000%, Lmin=-800.45, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1055, ncalls=2550, logz=-802.39, remainder_fraction=100.0000%, Lmin=-791.61, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1063, ncalls=2583, logz=-789.37, remainder_fraction=100.0000%, Lmin=-779.90, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1074, ncalls=2616, logz=-775.92, remainder_fraction=100.0000%, Lmin=-764.70, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] clustering found some stray points [need_accept=False] (array([1, 2]), array([399,   1]))
16:01:28 [ultranest] [DEBUG] iteration=1080, ncalls=2637, logz=-760.83, remainder_fraction=100.0000%, Lmin=-749.93, Lmax=-139.93
16:01:28 [ultranest] [DEBUG] iteration=1090, ncalls=2670, logz=-742.85, remainder_fraction=100.0000%, Lmin=-733.98, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1098, ncalls=2710, logz=-731.34, remainder_fraction=100.0000%, Lmin=-717.25, Lmax=-139.93
16:01:29 [ultranest] [DEBUG] iteration=1111, ncalls=2738, logz=-696.67, remainder_fraction=100.0000%, Lmin=-686.92, Lmax=-139.93
