apec1.kT apec1.Abundanc apec1.norm
4.058971868008080186e+00 1.927506736688771316e-01 1.694079543257442921e-02
3.927932186660975766e+00 2.322118486822955796e-01 5.507216950217482809e-01
4.015014853051716237e+00 2.636963103785653351e-01 7.185234435508862649e-01
4.281409723980821092e+00 2.816475645810737616e-01 1.172675764103443985e+00
3.856104768686214435e+00 2.451673091335761778e-01 1.475629298330044303e+00
3.845228604160225938e+00 2.985687318850960281e-01 1.381164016941514028e+00
4.022878643139417676e+00 2.946733395421324841e-01 1.264989149304994509e+00
4.196426805486447087e+00 2.827612052452516123e-01 1.064323392791032052e+00
4.255003604923538241e+00 1.350284136826031545e-01 1.222728112875894890e+00
4.468850460515057854e+00 3.377414118403657683e-01 8.751994586953162347e-01
3.905534050033996785e+00 2.337298752531836166e-01 9.928776032489858849e-01
4.058895836476054342e+00 2.186060700683139790e-01 8.339401668776317278e-01
4.092083438778466586e+00 2.197535282505254928e-01 8.831645374721907027e-01
3.994630226930959260e+00 2.579024289558607963e-01 9.600805695424655672e-01
4.114884387357690798e+00 3.106904521413230702e-01 1.378803138313653642e+00
3.945085018944445743e+00 2.438841604435983690e-01 9.955318546351198394e-01
3.926323372677920975e+00 3.031773267816159634e-01 9.131367130989120895e-01
3.919137197603152600e+00 2.218742118490092396e-01 1.204055072335980636e+00
4.018897198220991562e+00 2.754858886151662078e-01 7.537871974868465275e-01
3.856994967501643945e+00 2.303238781859160422e-01 6.484581678536102123e-01
4.079854322933278432e+00 1.920599409356662512e-01 1.143477159192431314e+00
4.125152502837078572e+00 2.448339828097760296e-01 5.597624186253802314e-01
3.838189916918790523e+00 2.680688159571001927e-01 4.606409040121736131e-01
4.162409826329540152e+00 2.729579291683298936e-01 2.739713581028282441e-01
4.094276492623793118e+00 2.675641559020084381e-01 1.314967357598594955e+00
4.006583183998368547e+00 2.220509129912655588e-01 1.116388206642651593e+00
4.307344049225448224e+00 3.010208415561452244e-01 1.029074862483561503e+00
4.029656439707438587e+00 1.513757892756761314e-01 7.655498746063057469e-01
3.863926486998963128e+00 2.345184309180791404e-01 8.384186567715770089e-01
