14:47:27 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
14:48:23 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:12:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=True, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:18:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:12 [ultranest] [DEBUG] ReactiveNestedSampler: dims=3+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [DEBUG] ReactiveNestedSampler: dims=2+0, resume=False, log_dir=myoutputs/, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
15:20:55 [ultranest] [INFO] Sampling 400 live points from prior ...
15:20:58 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.1000, min_ess=0
15:20:58 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
15:20:58 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
15:21:06 [ultranest] [DEBUG] iteration=1015, ncalls=1556, logz=-9879838607973588750303232.00, remainder_fraction=100.0000%, Lmin=-9874327095453182708416512.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=1028, ncalls=1571, logz=-9513550825929546145988608.00, remainder_fraction=100.0000%, Lmin=-9512852380746396186181632.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=1040, ncalls=1584, logz=-9242221707970199058120704.00, remainder_fraction=100.0000%, Lmin=-9222206253964209380392960.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=1052, ncalls=1599, logz=-9103101870584680333443072.00, remainder_fraction=100.0000%, Lmin=-9013125697700536757780480.00, Lmax=-32412655919739583856640.00
15:21:06 [ultranest] [DEBUG] iteration=1062, ncalls=1614, logz=-8775033352456425583935488.00, remainder_fraction=100.0000%, Lmin=-8756551396773432815255552.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1076, ncalls=1629, logz=-8529312493302566944243712.00, remainder_fraction=100.0000%, Lmin=-8513682848971665876975616.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1080, ncalls=1633, logz=-8453584271808670344413184.00, remainder_fraction=100.0000%, Lmin=-8438836305549157189287936.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1093, ncalls=1646, logz=-8232080002420017169694720.00, remainder_fraction=100.0000%, Lmin=-8173948607406816968572928.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1106, ncalls=1659, logz=-8006931293171195926544384.00, remainder_fraction=100.0000%, Lmin=-7985991218698113484062720.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1119, ncalls=1674, logz=-7731337175189679308275712.00, remainder_fraction=100.0000%, Lmin=-7704252150705210246823936.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1120, ncalls=1675, logz=-7704252150705210246823936.00, remainder_fraction=100.0000%, Lmin=-7701304436728535237787648.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1132, ncalls=1690, logz=-7496187412501483829067776.00, remainder_fraction=100.0000%, Lmin=-7493583948963839970639872.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1146, ncalls=1705, logz=-7355362063837267918585856.00, remainder_fraction=100.0000%, Lmin=-7344664163274715171913728.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1157, ncalls=1719, logz=-6977307592010033335894016.00, remainder_fraction=100.0000%, Lmin=-6941038581483385022054400.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1160, ncalls=1722, logz=-6909102156086924250447872.00, remainder_fraction=100.0000%, Lmin=-6862596578743210238541824.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1170, ncalls=1733, logz=-6730392577691235009953792.00, remainder_fraction=100.0000%, Lmin=-6715380154869817200869376.00, Lmax=-32412655919739583856640.00
15:21:07 [ultranest] [DEBUG] iteration=1183, ncalls=1747, logz=-6440921390830833939513344.00, remainder_fraction=100.0000%, Lmin=-6384013303561300735950848.00, Lmax=-32412655919739583856640.00
15:21:08 [ultranest] [DEBUG] iteration=1193, ncalls=1759, logz=-6289560526398818529312768.00, remainder_fraction=100.0000%, Lmin=-6285634670299553915207680.00, Lmax=-2858344357064648163328.00
15:21:08 [ultranest] [DEBUG] iteration=1200, ncalls=1769, logz=-6177479786116502863740928.00, remainder_fraction=100.0000%, Lmin=-6176848054923914823860224.00, Lmax=-2858344357064648163328.00
15:21:08 [ultranest] [DEBUG] iteration=1212, ncalls=1784, logz=-6016703795055475675889664.00, remainder_fraction=100.0000%, Lmin=-6011445105062573829521408.00, Lmax=-2858344357064648163328.00
